wl; n
240; 1.847
261; 1.933
281; 2.051
300; 2.161
312; 2.216
328; 2.246
338; 2.255
350; 2.259
360; 2.255
370; 2.237
378; 2.213
388; 2.18
397; 2.158
411; 2.125
423; 2.096
432; 2.078
443; 2.059
458; 2.041
471; 2.023
483; 2.01
500; 1.999
516; 1.99
529; 1.985
548; 1.979
570; 1.974
609; 1.963
660; 1.949
700; 1.942
780; 1.933
829; 1.926
872; 1.919
900; 1.916
961; 1.912
1000; 1.907
2000; 1.853
3000; 1.822
4000; 1.797
5000; 1.743
6000; 1.694
6390; 1.668
6660; 1.648
7000; 1.602
7190; 1.55
7400; 1.477
7570; 1.402
7720; 1.324
7830; 1.259
7940; 1.192
8030; 1.147
8140; 1.077
8280; 0.999
8470; 0.919
8550; 0.891
8670; 0.876
8830; 0.871
8980; 0.881
9080; 0.905
9220; 0.97
9360; 1.059
9490; 1.156
9590; 1.246
9680; 1.36
9760; 1.48
9890; 1.684
10020; 1.906
10110; 2.09
10170; 2.252
10250; 2.431
10290; 2.548
10360; 2.641
10470; 2.743
10560; 2.807
10690; 2.847
10790; 2.852
10890; 2.851
11030; 2.826
11130; 2.794
11250; 2.749
11360; 2.691
11460; 2.616
11570; 2.529
11650; 2.446
11710; 2.374
11760; 2.311
11840; 2.251
11920; 2.201
12030; 2.146
12120; 2.116
12290; 2.089
12450; 2.068
12610; 2.058
12820; 2.048
13030; 2.045
13210; 2.037
13390; 2.027
13600; 2.024
13760; 2.016
14000; 2.005